[pose_engine] spine sample interval: 0.05s (from SPINE_SAMPLE_INTERVAL_SECS env var)
[diag] 4.0 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 31.6 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.9 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.9 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.6 fps, spine sample present in 6% of frames, latency=0.55s
[diag] 28.8 fps, spine sample present in 53% of frames, latency=0.55s
[diag] 27.4 fps, spine sample present in 39% of frames, latency=0.55s
[diag] 29.9 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.9 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.3 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.6 fps, spine sample present in 19% of frames, latency=0.55s
[diag] 29.9 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.9 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.3 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 28.9 fps, spine sample present in 13% of frames, latency=0.55s
[diag] 30.5 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.0 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.3 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.5 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 17% of frames, latency=0.55s
[diag] 30.0 fps, spine sample present in 33% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 30% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 53% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 53% of frames, latency=0.55s
[diag] 29.4 fps, spine sample present in 48% of frames, latency=0.55s
[diag] 30.6 fps, spine sample present in 52% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 50% of frames, latency=0.55s
[diag] 30.0 fps, spine sample present in 53% of frames, latency=0.55s
[diag] 30.6 fps, spine sample present in 45% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 7% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 37% of frames, latency=0.55s
[diag] 30.3 fps, spine sample present in 52% of frames, latency=0.55s
[diag] 30.0 fps, spine sample present in 50% of frames, latency=0.55s
[diag] 30.0 fps, spine sample present in 19% of frames, latency=0.55s
[diag] 29.2 fps, spine sample present in 10% of frames, latency=0.55s
[diag] 30.8 fps, spine sample present in 26% of frames, latency=0.55s
[diag] 30.1 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.5 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.4 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.3 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.8 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.3 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.7 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 29.9 fps, spine sample present in 0% of frames, latency=0.55s
[diag] 30.7 fps, spine sample present in 0% of frames, latency=0.55s
